Country,srcYear,Region or Country name,Number of Foreign Tourist Arrivals (FTAs) in India from different regions of the world,YearCode,Year
India,2017,Not Classified elsewhere,23456,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Central & South America,92067,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Africa,318023,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,West Asia,457760,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Australasia,386059,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Eastern Europe,472872,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,East Asia,663295,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,South East Asia,824575,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,North America,1712358,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,Western Europe,2133673,2017,"Calendar Year (Jan - Dec), 2017"
India,2017,South Asia,2951665,2017,"Calendar Year (Jan - Dec), 2017"
India,2013,Not Classified elsewhere,23333,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Central & South America,68436,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Africa,275271,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Australasia,263574,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Eastern Europe,405083,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,West Asia,343113,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,East Asia,547305,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,South East Asia,630054,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,North America,1340531,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,Western Europe,1855866,2013,"Calendar Year (Jan - Dec), 2013"
India,2013,South Asia,1215035,2013,"Calendar Year (Jan - Dec), 2013"
India,2020,Not classified elsewhere,3018,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Central & South America,26968,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Africa,90296,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,West Asia,97651,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Australasia,105047,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Eastern Europe,168145,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,East Asia,130383,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,South East Asia,231622,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,North America,516960,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Western Europe,624615,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,South Asia,750061,2020,"Calendar Year (Jan - Dec), 2020"
India,2014,Not Classified elsewhere,30667,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Central & South America,69926,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Africa,280754,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Australasia,286294,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Eastern Europe,422278,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,West Asia,413678,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,East Asia,546792,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,South East Asia,685805,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,North America,1387468,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,Western Europe,1860580,2014,"Calendar Year (Jan - Dec), 2014"
India,2014,South Asia,1694857,2014,"Calendar Year (Jan - Dec), 2014"
India,2018,Not Classified elsewhere,10037,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Central & South America,101085,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Africa,351198,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,West Asia,449548,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Australasia,412628,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Eastern Europe,466049,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,East Asia,724568,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,South East Asia,887088,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,North America,1807718,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,Western Europe,2243635,2018,"Calendar Year (Jan - Dec), 2018"
India,2018,South Asia,3104422,2018,"Calendar Year (Jan - Dec), 2018"
India,2021,Not classified elsewhere,1142,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Central & South America,6798,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Africa,68914,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,West Asia,52174,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Australasia,38865,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Eastern Europe,43114,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,East Asia,33762,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,South East Asia,38474,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,North America,510299,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,Western Europe,334850,2021,"Calendar Year (Jan - Dec), 2021"
India,2021,South Asia,398722,2021,"Calendar Year (Jan - Dec), 2021"
India,2019,Not classified elsewhere,10841,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Central & South America,98926,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Africa,362308,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,West Asia,431943,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Australasia,438939,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Eastern Europe,456481,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,East Asia,782225,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,South East Asia,930540,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,North America,1863892,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Western Europe,2178441,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,South Asia,3375819,2019,"Calendar Year (Jan - Dec), 2019"
India,2015,Not Classified elsewhere,24557,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Central & South America,70831,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Africa,293569,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Australasia,312101,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Eastern Europe,331051,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,West Asia,417616,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,East Asia,555770,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,South East Asia,700298,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,North America,1494930,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,Western Europe,1880203,2015,"Calendar Year (Jan - Dec), 2015"
India,2015,South Asia,1946207,2015,"Calendar Year (Jan - Dec), 2015"
India,2016,Not Classified elsewhere,14988,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Central & South America,78730,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Africa,302164,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Australasia,348908,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Eastern Europe,406002,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,West Asia,451842,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,East Asia,617563,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,South East Asia,746069,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,North America,1614178,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,Western Europe,2029412,2016,"Calendar Year (Jan - Dec), 2016"
India,2016,South Asia,2194555,2016,"Calendar Year (Jan - Dec), 2016"
